"Date","Windows","OS X","Unknown","Linux","Chrome OS","Other"
2017-02,84.14,11.6,1.9,1.53,0.83,0.01
2017-03,84.34,11.68,1.59,1.54,0.84,0.01
2017-04,84.22,11.61,1.73,1.68,0.75,0.01
2017-05,83.92,11.76,1.83,1.66,0.82,0.01
2017-06,84.32,11.59,1.78,1.74,0.55,0.01
2017-07,84.46,11.32,1.97,1.79,0.45,0.01
2017-08,83.53,11.95,2.15,1.79,0.56,0.01
2017-09,83.28,12.15,2.06,1.66,0.84,0.01
2017-10,82.96,12.98,1.46,1.62,0.97,0.01
2017-11,82.74,13.23,1.46,1.57,0.98,0.01
2017-12,82.68,13.06,1.8,1.54,0.91,0.01
2018-01,82.68,12.8,2.17,1.43,0.9,0.01
2018-02,82.55,12.37,2.61,1.45,1,0.01
2018-03,81.91,12.51,3.07,1.48,1.03,0.01
2018-04,81.73,13.18,2.45,1.66,0.98,0.01
2018-05,81.8,13.36,2.01,1.61,1.22,0.01
2018-06,82.45,12.98,2.09,1.69,0.78,0.01
2018-07,82.88,12.52,2.37,1.71,0.5,0.01
2018-08,82.51,12.65,2.48,1.69,0.66,0.01
2018-09,81.76,13.49,1.99,1.68,1.08,0.01
2018-10,78.04,13.73,5.44,1.64,1.15,0.01
2018-11,70.22,12.25,14.96,1.47,1.1,0.01
2018-12,76.17,12.33,8.46,1.69,1.35,0.01
2019-01,75.47,12.33,9.41,1.61,1.17,0.01
2019-02,74.44,13.22,9.51,1.58,1.25,0
2019-03,79.46,14.35,3.2,1.7,1.28,0
2019-04,79.45,14.05,3.62,1.63,1.24,0.01
2019-05,78.91,13.89,4.3,1.55,1.35,0.01
2019-06,78.43,13.53,5.66,1.6,0.77,0.01
2019-07,77.61,13.17,7.03,1.65,0.54,0.01
2019-08,78.32,13.22,5.87,1.72,0.86,0
2019-09,79.1,14.37,3.31,1.74,1.48,0
2019-10,77.93,15.93,2.79,1.77,1.58,0
2019-11,77.25,16.73,2.65,1.82,1.54,0
2019-12,77.64,16.46,2.59,1.85,1.45,0
2020-01,77.7,17.04,1.83,1.9,1.52,0
2020-02,77.22,17.7,1.67,1.91,1.5,0
2020-03,77.1,18.34,1.61,1.71,1.24,0
2020-04,76.52,18.99,1.75,1.61,1.12,0
2020-05,77.04,18.38,1.83,1.68,1.06,0
2020-06,77.68,17.76,2.06,1.69,0.8,0
2020-07,77.74,17.07,2.67,1.85,0.67,0
2020-08,77.21,16.97,3.09,1.84,0.9,0
2020-09,77.12,17.57,2.05,1.73,1.52,0
2020-10,76.32,17.65,2.92,1.53,1.58,0
2020-11,73.21,16.54,6.51,1.8,1.92,0.01
2020-12,76.56,17.1,2.68,1.93,1.72,0.01
2021-01,76.26,16.91,3,1.91,1.91,0.01
2021-02,75.89,16.74,3.4,1.98,1.99,0.01
2021-03,75.56,16.48,3.9,1.97,2.09,0.01
2021-04,74.94,16.02,4.81,2.18,2.04,0.01
2021-05,73.54,15.87,5.93,2.38,2.27,0.01
2021-06,72.98,15.56,7.27,2.68,1.51,0.01
2021-07,73.04,15.43,7.93,2.38,1.21,0.01
2021-08,76.12,16.14,3.61,2.38,1.74,0.01
2021-09,75.4,15.93,3.74,2.33,2.59,0.01
2021-10,75.18,15.89,4.23,2.15,2.54,0.01
2021-11,74.28,16.04,4.99,2.08,2.6,0.01
2021-12,73.72,15.33,6.67,2.09,2.18,0.01
2022-01,75.5,15.85,3.86,2.19,2.6,0.01
2022-02,75.87,15.84,3.09,2.12,3.07,0.01
